,enrolled_course,referral_ccm_website,referral_social_media,referral_community_event,referral_family_or_friend,referral_current_ccm_student,referral_ccm_alumni,referral_hs_teacher,referral_hs_counselor,referral_app_ad,referral_employer,referral_billboard,referral_tv,referral_radio,referral_other,impact_cost,impact_location,impact_choice_programs,impact_online_offerings,impact_family_friend_referral,impact_faculty_staff,impact_reputation,impact_financial_aid,impact_scholarships,impact_class_sizes,impact_ec_opps,impact_transfer_credits,impact_neg_experience,impact_nj_stars_program,impact_transfer_ccm_credits,impact_hs_credit,participation_open_house,participation_decision_day,participation_info_session,participation_virtual_info_session,participation_women_who_dare,participation_reg_college_fair,participation_hs_sharetime_info_session,participation_challenger_program,participation_cybersec_program,participation_info_session_hs,participation_campus_visit_hs,participation_campus_visit_individual,participation_workforce_development_class,participation_corporate_training,participation_teen_arts_festival,participation_summer_camp,impact_hs_computing_class,impact_hs_computing_club,impact_computing_competitions,impact_afterschool_computing_program,impact_summer_computing_program,impact_ap_computing_class,impact_dual_enrollment_computing_class,impact_family_friend_influence,impact_family_friend_computing_field,impact_hs_teacher_counselor,impact_employer_influence,impact_current_ccm_student,impact_work_experience,impact_other,enrolled_degree_program,motivation_degree,info_source_hs_guidance_counselor,info_source_hs_teacher,info_source_ccm_website,info_source_ccm_admissions,info_source_ccm_advisor,info_source_employer,info_source_ccm_workforce_development,info_source_nj_workforce_development,info_source_other,interest_in_more_classes,explanation_interest_in_classes,gender,race_ethnicity,age
0,CMP 239 Internet & Web Page Design,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Don't recall,Don't recall,No Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Not Answered,No Impact,High Impact,Not Answered,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Career Change;Professional Development;Relocation;To keep current in tech industry;Financial;Personal Enrichment,No,No,Yes,No,Yes,No,No,No,No,Not Answered,Not Answered,Man,Black/African American,21-24
1,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Not Sure,Not Sure,Not Sure,Not Sure,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Information Technology,To get a job in the computing field;Transfer to bachelor's level program;IT Industry Certifications;Financial,No,No,Yes,No,No,No,No,No,No,Not Answered,Not Answered,Woman,Multi-Racial,25-34
2,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,Not Answered,Not Answered,Not Answered,High Impact,Not Answered,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Information Technology,To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Career Change;Professional Development;Financial;Personal Enrichment,No,No,Yes,Yes,Yes,No,No,No,No,Not Answered,Not Answered,Man,Hispanic or Latino,35-64
3,CMP 239 Internet & Web Page Design,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Non Degree Seeking,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,4.0,"I would love to learn more about coding and programming , especially about other programming languages that can code high-level programs. I think coding is an important part of every field in the future, which is a part of our modernized future. It's also interesting to me, and I'd like to learn more about it.",Woman,Asian,18 and younger
4,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,To get a job in the computing field;Transfer to bachelor's level program;Career Change;IT Industry Certifications,No,No,Yes,Yes,Yes,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,25-34
5,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,Not Answered,Some Impact,Not Answered,Not Answered,High Impact,Not Answered,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Computer Science,To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;Personal Enrichment,Yes,No,Yes,Yes,Don't recall,No,No,No,Yes,Not Answered,Not Answered,Man,White/Caucasian,19-20
6,CMP 239 Internet & Web Page Design,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Web Development Certificate of Achievement,To get a job in the computing field;Career Advancement;Career Change;Professional Development;Financial;Personal Enrichment,No,No,Yes,Yes,No,No,No,No,No,Not Answered,Not Answered,Woman,White/Caucasian,35-64
7,CMP 239 Internet & Web Page Design,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,No,No,No,No,No,Not Answered,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Not Answered,Some Impact,High Impact,Not Answered,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Not Answered,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Not Answered,Information Technology,Transfer to bachelor's level program;Career Advancement;Career Change;IT Industry Certifications,No,No,Yes,Yes,Yes,No,Don't recall,Don't recall,Don't recall,Not Answered,Not Answered,Man,White/Caucasian,25-34
8,CMP 239 Internet & Web Page Design,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,To get a job in the computing field;Transfer to bachelor's level program,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,Asian,21-24
9,CMP 239 Internet & Web Page Design,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,To get a job in the computing field,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,Asian,21-24
10,CMP 239 Internet & Web Page Design,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Information Technology,"To get a job in the computing field;Transfer to bachelor's level program;Transfer credits back to HS degree (ShareTime, Challenger Program);Financial",Yes,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,18 and younger
11,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Engineering,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,5.0,"I'm making a shift from Engineering to IT, as it is more clear and manageable for me to complete my degree and take the next steps to more education or launching my career, in addition to the significantly greater support from the IT and Computer Science faculty and staff than the Engineering department",Man,White/Caucasian,25-34
12,CMP 239 Internet & Web Page Design,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,Not Answered,"Digital Media Technology, Applied Associate of Science",To get a job in the computing field,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,19-20
13,CMP 128 Computer Science I,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Undecided,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,5.0,It is already the future.,Man,Hispanic or Latino,25-34
14,CMP 128 Computer Science I,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Some Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Not Answered,Not Answered,High Impact,Not Answered,Not Answered,High Impact,Some Impact,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,Not Answered,Not Answered,High Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Not Answered,Computer Science,To get a job in the computing field;To keep current in tech industry,No,No,Yes,No,No,No,No,No,Yes,Not Answered,Not Answered,Man,Hispanic or Latino,18 and younger
15,CMP 128 Computer Science I,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Financial;Something to fall back on if my main career choice falls through.,No,No,Yes,Yes,Yes,No,No,No,No,Not Answered,Not Answered,Woman,Hispanic or Latino,18 and younger
16,CMP 128 Computer Science I,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Not Answered,High Impact,Not Answered,Not Answered,High Impact,High Impact,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Not Answered,Not Answered,Not Answered,High Impact,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Computer Science,To get a job in the computing field;Transfer to bachelor's level program,Yes,No,No,Yes,Yes,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,21-24
17,CMP 128 Computer Science I,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,High Impact,High Impact,Some Impact,Not Answered,Not Answered,High Impact,Not Answered,Yes,No,Yes,No,No,Yes,No,No,Not Sure,Yes,Yes,No,No,No,No,Yes,High Impact,Some Impact,Not Answered,Not Answered,Not Answered,High Impact,Not Answered,High Impact,High Impact,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Computer Science,To get a job in the computing field;Transfer to bachelor's level program;To keep current in tech industry,Don't recall,Yes,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Not Answered,Not Answered,Woman,Asian,18 and younger
18,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Don't recall,Some Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Some Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Some Impact,Some Impact,Some Impact,Not Answered,Not Answered,Not Answered,Not Answered,Non Degree Seeking,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,5.0,"These classes could lead me to jobs that can be done online, web design in particular which interested me in both the technical and creative aspects alike.",Woman,Multi-Racial,19-20
19,CMP 128 Computer Science I,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,To get a job in the computing field;Transfer to bachelor's level program,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Woman,Black/African American,21-24
20,CMP 128 Computer Science I,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Transfer to bachelor's level program;Personal Enrichment,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,19-20
21,CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,To get a job in the computing field;To keep current in tech industry;Personal Enrichment,Yes,Yes,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,18 and younger
22,CMP 128 Computer Science I,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,3.0,I want to Give Computer Science a try to understand technology better ,Woman,Asian,19-20
23,CMP 128 Computer Science I,No,No,No,Don't recall,No,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,High Impact,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Challenger Program,To get a job in the computing field;Transfer to bachelor's level program;Career Advancement,Yes,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,Asian,18 and younger
24,CMP 239 Internet & Web Page Design,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,Not Answered,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Information Technology,To get a job in the computing field;Transfer to bachelor's level program;Career Advancement;IT Industry Certifications;Financial,Don't recall,Don't recall,Yes,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Not Answered,Not Answered,Man,Asian,19-20
25,CMP 239 Internet & Web Page Design,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,5.0,"Because the future is in computers, especially since there's not much left to do during this time.",Man,Hispanic or Latino,19-20
26,CMP 239 Internet & Web Page Design,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Non Degree Seeking,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,5.0,"It keeps things interesting. I am an older student working in IT and I find that I came into IT with time and need for resources, but I don't have the background that new hires have in computers, particularly exposure to programming, different OS, etc.",Woman,Hispanic or Latino,35-64
27,CMP 239 Internet & Web Page Design,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Don't recall,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Not Answered,Some Impact,Some Impact,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Business,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,2.0,I am not a very technologically oriented however I believe in having diverse skills.,Woman,Hispanic or Latino,19-20
28,CMP 128 Computer Science I,Yes,No,No,Yes,Yes,No,No,No,No,No,Don't recall,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,Not Answered,Not Answered,Some Impact,High Impact,Not Answered,No Impact,No Impact,Not Answered,Not Answered,Not Answered,Some Impact,Not Answered,Not Sure,Yes,No,Not Sure,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,CIS Game Development Option,To get a job in the computing field;Career Advancement;Professional Development;Personal Enrichment,Don't recall,Don't recall,Yes,Yes,No,Don't recall,Don't recall,Don't recall,Don't recall,Not Answered,Not Answered,Man,White/Caucasian,21-24
29,CMP 128 Computer Science I,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,High Impact,Some Impact,Not Answered,Not Answered,Not Answered,Not Answered,Information Technology,To get a job in the computing field;Career Change,No,No,No,Yes,Yes,No,No,No,No,Not Answered,Not Answered,Woman,White/Caucasian,19-20
30,CMP 128 Computer Science I,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Some Impact,Not Answered,Not Answered,Some Impact,High Impact,High Impact,Not Answered,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Engineering,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,1.0,I am only taking this CMP class as a replacement for ENR 120 which is not offered by the college anymore,Man,Multi-Racial,19-20
31,CMP 128 Computer Science I,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Don't recall,High Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Not Answered,Not Answered,High Impact,Some Impact,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Not Sure,No,No,No,No,No,Some Impact,Not Answered,Not Answered,Some Impact,Not Answered,Some Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Engineering,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,3.0,"For me, writing in a computer language is difficult.  Just like learning any new language.",Man,White/Caucasian,21-24
32,CMP 239 Internet & Web Page Design,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Don't recall,High Impact,Some Impact,No Impact,Not Answered,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,Not Sure,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Personal Enrichment,No,No,Yes,No,No,No,No,No,No,Not Answered,Not Answered,Man,White/Caucasian,19-20
33,CMP 128 Computer Science I,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Engineering,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,3.0,Is a really good tool to know about computing but i also known is very complicated. i took two computer programming classes in my last college and they were really challenging. so i do not think i see myself taking another class after this one.,Woman,Hispanic or Latino,21-24
34,CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,To get a job in the computing field;Transfer to bachelor's level program;Professional Development;Financial,Yes,No,No,Yes,Yes,No,No,No,No,Not Answered,Not Answered,Woman,Hispanic or Latino,18 and younger
35,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Non Degree Seeking,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,3.0,Computer Science is not my main focus,Man,Asian,19-20
36,CMP 128 Computer Science I,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Engineering,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,3.0,"It is too soon to tell being my first class, but if all goes well I will be interested ",Man,White/Caucasian,21-24
