,enrolled_course,referral_ccm_website,referral_social_media,referral_community_event,referral_family_or_friend,referral_current_ccm_student,referral_ccm_alumni,referral_hs_teacher,referral_hs_counselor,referral_app_ad,referral_employer,referral_billboard,referral_tv,referral_radio,referral_other,impact_cost,impact_location,impact_choice_programs,impact_online_offerings,impact_family_friend_referral,impact_faculty_staff,impact_reputation,impact_financial_aid,impact_scholarships,impact_class_sizes,impact_ec_opps,impact_transfer_credits,impact_neg_experience,impact_nj_stars_program,impact_transfer_ccm_credits,impact_hs_credit,participation_open_house,participation_decision_day,participation_info_session,participation_titans_tuesday,participation_women_who_dare,participation_reg_college_fair,participation_hs_sharetime_info_session,participation_challenger_program,participation_cybersec_program,participation_info_session_hs,participation_campus_visit_hs,participation_campus_visit_individual,participation_workforce_development_class,participation_corporate_training,participation_teen_arts_festival,participation_summer_camp,impact_hs_computing_class,impact_hs_computing_club,impact_computing_competitions,impact_afterschool_computing_program,impact_summer_computing_program,impact_ap_computing_class,impact_dual_enrollment_computing_class,impact_family_friend_influence,impact_family_friend_computing_field,impact_hs_teacher_counselor,impact_employer_influence,impact_current_ccm_student,impact_work_experience,impact_other,enrolled_degree_program,motivation_job,motivation_transfer_bachelor,motivation_transfer_hs_credits,motivation_career_advancement,motivation_career_change,motivation_professional_development,motivation_job_displacement,motivation_relocation,motivation_keep_current,motivation_it_certifications,motivation_financial,motivation_personal_enrichment,info_source_hs_guidance_counselor,info_source_hs_teacher,info_source_ccm_website,info_source_ccm_admissions,info_source_ccm_advisor,info_source_employer,info_source_ccm_workforce_development,info_source_nj_workforce_development,info_source_other,interest_in_more_classes,explanation_interest_in_classes,gender,race_ethnicity,Age
0,CMP 128 Computer Science I,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Some Impact,Not Answered,Not Answered,Not Answered,Not Answered,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Not Answered,Non Degree Seeking,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,5.0,this is my first computing class and i realized that i really enjoy this subject,Woman,Asian,18 and younger
1,CMP 128 Computer Science I,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Engineering,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,5.0,I have always been interested in computing and robotics,Man,Hispanic or Latino,19-20
2,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Not Answered,Not Answered,Man,White/Caucasian,18 and younger
3,CMP 128 Computer Science I,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Not Answered,Not Answered,Man,Choose not to reply,35-64
4,CMP 128 Computer Science I,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Engineering,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,4.0,"At first, I was just taking this class because of it being a requirement for my major, however, the teacher made the class more interesting and made me more inclined to be more interested in things related to this class.",Man,White/Caucasian,19-20
5,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,High Impact,Some Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Not Answered,Not Answered,Man,White/Caucasian,18 and younger
6,CMP 128 Computer Science I,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Engineering,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,5.0,Programming is fun.,Man,White/Caucasian,19-20
7,CMP 128 Computer Science I,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,Undecided,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,3.0,I am not sure if computer science is a field that I want to study yet.,Woman,Asian,18 and younger
8,CMP 128 Computer Science I,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Yes,No,Yes,No,No,No,Not Sure,Yes,No,Yes,Yes,No,No,No,Yes,No,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Mathematics and Science,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered,4.0,The field I plan to go into requires a high level of knowledge related to computing,Man,White/Caucasian,21-24
9,CMP 128 Computer Science I,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Not Answered,Not Answered,Man,Hispanic or Latino,18 and younger
